source,target
0,1
0,2
0,20
0,4
0,18
0,21
0,15
0,22
0,23
24,0
0,26
0,27
0,8
0,29
0,30
0,13
0,19
0,32
0,33
0,34
0,35
0,17
0,38
0,39
40,0
0,14
0,43
0,44
0,45
0,50
0,51
0,52
0,54
0,55
0,5
0,53
0,57
0,12
0,58
0,36
0,63
0,69
0,70
0,71
0,81
0,82
0,85
48,0
0,86
0,72
0,66
0,87
1,2
1,3
2,3
8,1
1,18
1,4
1,20
24,1
1,26
1,29
1,12
40,1
1,51
1,50
1,36
1,34
1,66
1,69
65,1
1,68
72,1
1,86
8,2
24,2
2,66
72,2
2,29
2,69
2,78
2,86
48,2
95,2
2,97
2,100
2,102
2,92
2,93
2,94
3,92
3,91
97,3
96,3
95,3
72,3
3,100
3,102
3,69
24,3
4,5
6,7
8,7
4,7
8,4
5,7
9,5
9,7
10,5
10,11
11,5
12,13
12,14
13,14
4,15
8,15
16,15
17,4
8,17
17,15
12,5
10,12
5,14
14,15
13,15
4,14
4,13
18,13
18,4
18,14
8,13
8,19
19,15
19,4
19,13
18,15
4,20
18,20
21,15
4,21
18,21
4,22
18,22
23,15
4,23
18,23
24,18
8,14
25,12
26,27
26,15
26,4
27,15
27,4
8,23
24,20
26,20
24,4
24,26
26,18
28,29
29,23
21,23
29,15
18,29
21,29
4,29
28,15
18,28
4,30
27,30
26,23
12,31
12,15
12,4
31,15
4,31
32,4
33,4
34,4
35,4
32,33
32,34
32,35
33,34
33,35
34,35
36,12
36,31
8,34
32,8
8,33
17,18
25,5
17,13
8,18
12,37
5,37
25,37
25,10
19,38
37,15
18,5
9,11
38,39
19,39
18,12
41,12
42,12
41,42
32,12
34,12
33,12
32,36
34,36
33,36
40,15
40,8
8,6
18,43
43,44
43,45
18,44
18,45
44,45
8,46
46,47
8,47
48,46
48,49
48,8
49,46
8,49
24,50
24,51
24,52
50,51
50,18
50,52
18,51
51,52
18,52
8,36
8,12
8,41
41,36
36,15
41,34
34,15
32,41
32,15
41,15
32,18
42,15
18,53
49,53
54,55
5,54
5,55
8,54
8,55
8,5
8,53
18,54
53,54
18,55
53,55
5,53
32,53
56,33
34,53
18,34
12,53
8,57
8,58
24,8
24,12
24,36
18,36
59,36
36,60
36,61
18,59
59,60
59,61
18,60
18,61
60,61
40,18
24,40
34,62
8,63
8,64
58,5
32,63
34,63
65,36
36,4
24,34
24,65
66,67
67,68
66,68
66,51
66,50
24,66
24,69
66,69
51,69
8,66
8,69
70,71
72,8
72,66
72,30
72,29
24,72
69,70
69,71
72,69
73,74
73,75
73,66
74,75
74,66
66,75
68,69
76,69
66,76
68,76
24,68
24,76
75,76
74,76
75,68
76,77
74,68
66,77
72,78
69,78
24,79
72,80
24,78
81,82
79,69
66,83
75,84
80,66
81,85
66,34
48,81
72,86
69,86
24,86
48,86
48,24
48,72
48,69
66,86
24,88
24,29
66,29
89,29
24,89
72,89
89,69
88,66
88,29
72,60
72,90
60,86
90,86
90,60
24,60
60,69
66,60
24,90
90,69
66,90
66,12
75,86
75,90
91,92
91,93
92,93
93,94
91,94
92,94
95,94
98,93
96,97
95,92
98,99
99,93
98,94
95,97
72,97
95,72
72,100
97,100
95,100
98,101
101,93
72,102
95,102
97,102
72,92
92,69
95,69
97,93
103,92
90,92
24,92
104,92
72,103
103,90
95,103
103,69
24,103
103,104
72,104
95,90
104,90
24,95
95,104
104,69
24,104
72,94
98,106
107,92
103,108
72,93
95,93
108,109
105,109
92,109
107,109
105,108
92,108
107,108
105,92
105,107
97,69
66,97
